Species,Abbr,Phenology,Lifeform,MVL,Hv,Ks,P50,P88,psimin,rhowood,SWCwood, pio,pitlp,SWCleaf,Cleaf,epsilon,RWCtlp,LMA,rholeaf,HSM50,HSM88,HSMtlp,Dieback,Mortality
Cipadessa baccifera,CIB,Deciduous,Tree,64.6,NA,0.340444115,-4.92,-8.32,NA,0.62,-0.075720714,-1.4,-1.82,0.328379603,-0.508638306,1.15715444,90.05,1.742568034,NA,NA,NA,3.1,NA,NA
Cissus repanda,CIR,Deciduous,Liana,71.6,1.49,0.283301229,-2.85,-5.77,-1.03,0.22,0.564666064,-1.33,-1.84,0.46834733,0.06069784,0.852479994,79.7,1.824841472,-0.366531544,1.82,4.74,1.01,21.88,0
Dregea volubilis ,DRV,Deciduous,Liana,160.1,1.62,0.954242509,NA,NA,NA,0.33,0.271841607,-1.41,-1.56,0.667452953,-0.119186408,1.286231854,90.98,1.731346976,-0.48148606,NA,NA,-1.56,NA,NA
Garuga pinnata ,GAP,Deciduous,Tree,85.08,NA,1.190051418,-1.28,-4.36,NA,0.41,0.195899652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haldina cordifolia,HAC,Deciduous,Tree,100.33,1.64,0.354108439,-5.46,-9.19,-3.43,0.57,-0.031517051,-1.33,-1.73,0.326335861,-0.200659451,1.212187604,87.82,1.877371346,-0.508638306,2.03,5.76,3.73,16.67,0
Lannea coromandelica,LAC,Deciduous,Tree,31.67,2.86,0.307496038,-1.52,-3.12,-1.62,0.36,0.301029996,-1.36,-1.76,0.184691431,-0.356547324,1.1752218,89.67,1.978089173,-0.327902142,-0.1,1.5,-0.24,13.33,4
Phyllanthus emblica,PHE,Deciduous,Tree,70.67,NA,0.326335861,-3.43,-7.33,-2.43,0.59,-0.107905397,NA,NA,NA,NA,NA,NA,NA,NA,1,4.9,3.43,8.7,0
Falconeria insignis ,FAI,Deciduous,Tree,58.67,1.05,0.017033339,-1.78,-2.68,-1.07,0.36,0.240549248,-1.15,-1.4,0.552668216,-0.259637311,1.262925469,92.19,1.733839001,-0.366531544,0.71,1.61,0.38,3.45,0
Strophioblachia fimbricalyx,STF,Deciduous,Shrub,30,1.06,-0.022276395,-4.86,-8.23,-4.64,0.78,-0.27572413,-2.15,-2.42,0.285557309,-0.721246399,1.465680212,92.42,1.75868485,-0.408935393,0.22,3.59,2.44,57.14,6.3
Terminalia franchetii,TEF,Deciduous,Tree,52.5,0.85,0.63748973,-4.16,-8.33,NA,0.53,0.008600172,-1.94,-2.25,0.117271296,-0.455931956,1.173768823,86.3,1.917610526,-0.091514981,NA,NA,1.91,27.27,0
